Timestamp,Method,Url,Payload,Query
2026-08-14 07:86,GET,/countries?id=1,,"{""id"":[""1""]}"
2026-08-14 08:86,GET,/countries?id=1,,id=1
2026-08-14 08:86,GET,/countries?id,,id=
2026-08-14 08:86,GET,/countries?id=9,,id=9
2026-08-14 08:86,POST,/country,"{
    ""id"": 2,
    ""name"": ""United Kingdom"",
    ""currency"": ""£"",
    ""isActive"": true
}",
2026-08-15 01:86,GET,/account,,
2026-08-15 01:86,GET,/account,,
2026-08-15 01:86,GET,/account?Authentication,,Authentication=
2026-08-15 01:86,GET,/login?email=sumit@gmail.com&password=Sumit@2026,,"email=sumit@gmail.com,password=Sumit@2026"
2026-08-15 01:86,GET,/auth/login?email=sumit@gmail.com&password=Sumit@2026,,"email=sumit@gmail.com,password=Sumit@2026"
2026-08-15 01:86,POST,/auth/login?email=sumit@gmail.com&password=Sumit@2026,,"email=sumit@gmail.com,password=Sumit@2026"
2026-08-15 01:86,POST,/auth/login?email=sumit@gmail.com&password=Sumit@2026,"{
    ""email"":""Sumit@gmail.com"",
    ""password"":""Sumit@2026""
}","email=sumit@gmail.com,password=Sumit@2026"
2026-08-15 01:86,POST,/auth/create,"{
    ""email"":""Sumit@gmail.com"",
    ""password"":""Sumit@2026""
}",
2026-08-15 01:86,POST,/auth/create,"{
    ""name"":""Sumit"",
    ""countryId"":1,
    ""email"":""Sumit@gmail.com"",
    ""password"":""Sumit@2026""
}",
2026-08-15 01:86,POST,/auth/create,"{
    ""name"":""Sumit"",
    ""countryId"":1,
    ""email"":""Sumit@gmail.com"",
    ""password"":""Sumit@2026""
}",
